condition,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,49,3,TIMEOUT,0,2,1
off,49,4,TIMEOUT,0,3,2
off,49,5,TIMEOUT,0,4,0
off,49,6,RESOURCE_TAKEN,0,5,0
off,49,7,PARTNER_RESCUED,1,5,0
off,49,8,PARTNER_RESCUED,1,5,0
off,49,9,PARTNER_RESCUED,1,5,0
off,50,0,PARTNER_RESCUED,1,1,0
off,50,1,PARTNER_RESCUED,1,1,0
off,50,2,PARTNER_RESCUED,1,1,0
off,50,3,TIMEOUT,0,2,0
off,50,4,TIMEOUT,0,3,0
off,50,5,TIMEOUT,0,4,0
off,50,6,RESOURCE_TAKEN,0,5,0
off,50,7,PARTNER_DEAD,0,6,1
off,50,8,TIMEOUT,0,7,1
off,50,9,PARTNER_RESCUED,1,7,0
off,51,0,PARTNER_RESCUED,1,1,0
off,51,1,PARTNER_RESCUED,1,1,0
off,51,2,PARTNER_RESCUED,1,1,0
off,51,3,PARTNER_RESCUED,1,1,0
off,51,4,TIMEOUT,0,2,1
off,51,5,TIMEOUT,0,3,0
off,51,6,TIMEOUT,0,4,3
off,51,7,TIMEOUT,0,5,2
off,51,8,TIMEOUT,0,6,2
off,51,9,RESOURCE_TAKEN,0,7,0
off,52,0,PARTNER_RESCUED,1,1,0
off,52,1,PARTNER_RESCUED,1,1,0
off,52,2,PARTNER_RESCUED,1,1,0
off,52,3,PARTNER_RESCUED,1,1,0
off,52,4,TIMEOUT,0,2,2
off,52,5,TIMEOUT,0,3,1
off,52,6,TIMEOUT,0,4,0
off,52,7,TIMEOUT,0,5,2
off,52,8,TIMEOUT,0,6,0
off,52,9,TIMEOUT,0,7,0
off,53,0,PARTNER_RESCUED,1,1,0
off,53,1,TIMEOUT,0,2,1
off,53,2,TIMEOUT,0,3,0
off,53,3,TIMEOUT,0,4,0
off,53,4,TIMEOUT,0,5,1
off,53,5,TIMEOUT,0,6,0
off,53,6,TIMEOUT,0,7,1
off,53,7,TIMEOUT,0,8,0
off,53,8,TIMEOUT,0,9,0
off,53,9,TIMEOUT,0,10,0
off,54,0,PARTNER_RESCUED,1,1,0
off,54,1,TIMEOUT,0,2,1
off,54,2,TIMEOUT,0,3,0
off,54,3,TIMEOUT,0,4,1
off,54,4,RESOURCE_TAKEN,0,5,0
off,54,5,PARTNER_RESCUED,1,5,0
off,54,6,PARTNER_RESCUED,1,5,0
off,54,7,PARTNER_RESCUED,1,5,0
off,54,8,TIMEOUT,0,6,0
off,54,9,TIMEOUT,0,7,2
off,55,0,PARTNER_RESCUED,1,1,0
off,55,1,PARTNER_RESCUED,1,1,0
off,55,2,TIMEOUT,0,2,1
off,55,3,TIMEOUT,0,3,2
off,55,4,TIMEOUT,0,4,1
off,55,5,TIMEOUT,0,5,2
off,55,6,TIMEOUT,0,6,2
off,55,7,TIMEOUT,0,7,0
off,55,8,TIMEOUT,0,8,0
off,55,9,RESOURCE_TAKEN,0,9,0
off,56,0,PARTNER_RESCUED,1,1,0
off,56,1,TIMEOUT,0,2,1
off,56,2,TIMEOUT,0,3,1
off,56,3,TIMEOUT,0,4,0
off,56,4,TIMEOUT,0,5,2
off,56,5,TIMEOUT,0,6,1
off,56,6,TIMEOUT,0,7,1
off,56,7,TIMEOUT,0,8,1
off,56,8,TIMEOUT,0,9,1
off,56,9,TIMEOUT,0,10,2
off,57,0,PARTNER_RESCUED,1,1,0
off,57,1,TIMEOUT,0,2,0
off,57,2,TIMEOUT,0,3,1
off,57,3,TIMEOUT,0,4,3
off,57,4,TIMEOUT,0,5,0
off,57,5,TIMEOUT,0,6,0
off,57,6,RESOURCE_TAKEN,0,7,0
off,57,7,PARTNER_RESCUED,1,7,0
off,57,8,TIMEOUT,0,8,1
off,57,9,TIMEOUT,0,9,0
off,58,0,TIMEOUT,0,2,1
off,58,1,TIMEOUT,0,3,0
off,58,2,TIMEOUT,0,4,1
off,58,3,TIMEOUT,0,5,2
off,58,4,TIMEOUT,0,6,0
off,58,5,TIMEOUT,0,7,0
off,58,6,TIMEOUT,0,8,2
off,58,7,TIMEOUT,0,9,3
off,58,8,TIMEOUT,0,10,1
off,58,9,RESOURCE_TAKEN,0,11,1
off,59,0,PARTNER_RESCUED,1,1,0
off,59,1,PARTNER_RESCUED,1,1,0
off,59,2,PARTNER_RESCUED,1,1,0
off,59,3,TIMEOUT,0,2,1
off,59,4,TIMEOUT,0,3,0
off,59,5,TIMEOUT,0,4,0
off,59,6,TIMEOUT,0,5,0
off,59,7,TIMEOUT,0,6,2
off,59,8,TIMEOUT,0,7,1
off,59,9,TIMEOUT,0,8,0
off,60,0,TIMEOUT,0,2,1
off,60,1,TIMEOUT,0,3,1
off,60,2,TIMEOUT,0,4,2
off,60,3,TIMEOUT,0,5,1
off,60,4,RESOURCE_TAKEN,0,6,0
off,60,5,PARTNER_RESCUED,1,6,0
off,60,6,PARTNER_RESCUED,1,6,0
off,60,7,TIMEOUT,0,7,1
off,60,8,TIMEOUT,0,8,1
off,60,9,TIMEOUT,0,9,0
off,61,0,PARTNER_RESCUED,1,1,0
off,61,1,PARTNER_RESCUED,1,1,0
off,61,2,TIMEOUT,0,2,1
off,61,3,TIMEOUT,0,3,0
off,61,4,TIMEOUT,0,4,2
off,61,5,TIMEOUT,0,5,0
off,61,6,TIMEOUT,0,6,1
off,61,7,TIMEOUT,0,7,1
off,61,8,TIMEOUT,0,8,0
off,61,9,RESOURCE_TAKEN,0,9,0
off,62,0,TIMEOUT,0,2,1
off,62,1,TIMEOUT,0,3,1
off,62,2,PARTNER_RESCUED,1,3,0
off,62,3,TIMEOUT,0,4,0
off,62,4,TIMEOUT,0,5,2
off,62,5,TIMEOUT,0,6,2
off,62,6,TIMEOUT,0,7,2
off,62,7,TIMEOUT,0,8,1
off,62,8,TIMEOUT,0,9,1
off,62,9,TIMEOUT,0,10,0
off,63,0,PARTNER_RESCUED,1,1,0
off,63,1,PARTNER_RESCUED,1,1,0
off,63,2,PARTNER_RESCUED,1,1,0
off,63,3,TIMEOUT,0,2,1
off,63,4,RESOURCE_TAKEN,0,3,0
off,63,5,PARTNER_RESCUED,1,3,0
off,63,6,PARTNER_RESCUED,1,3,0
off,63,7,TIMEOUT,0,4,1
off,63,8,TIMEOUT,0,5,1
off,63,9,TIMEOUT,0,6,1
off,64,0,TIMEOUT,0,2,1
off,64,1,TIMEOUT,0,3,1
