kappa,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories
0.25,36,0,TIMEOUT,12,2,2
0.25,36,1,TIMEOUT,12,0,3
0.25,36,2,TIMEOUT,12,1,4
0.25,36,3,RESOURCE_TAKEN,8,0,5
0.25,36,4,TIMEOUT,12,0,6
0.25,36,5,RESOURCE_TAKEN,9,0,7
0.25,36,6,RESOURCE_TAKEN,11,0,8
0.25,36,7,TIMEOUT,12,2,9
0.25,36,8,TIMEOUT,12,0,10
0.25,36,9,TIMEOUT,12,2,11
0.25,37,0,TIMEOUT,12,2,2
0.25,37,1,TIMEOUT,12,0,3
0.25,37,2,TIMEOUT,12,0,4
0.25,37,3,RESOURCE_TAKEN,7,0,5
0.25,37,4,TIMEOUT,12,2,6
0.25,37,5,TIMEOUT,12,0,7
0.25,37,6,RESOURCE_TAKEN,8,0,8
0.25,37,7,TIMEOUT,12,2,9
0.25,37,8,TIMEOUT,12,2,10
0.25,37,9,TIMEOUT,12,0,11
0.25,38,0,TIMEOUT,12,1,2
0.25,38,1,TIMEOUT,12,1,3
0.25,38,2,RESOURCE_TAKEN,11,0,4
0.25,38,3,TIMEOUT,12,0,5
0.25,38,4,RESOURCE_TAKEN,12,0,6
0.25,38,5,TIMEOUT,12,2,7
0.25,38,6,TIMEOUT,12,3,8
0.25,38,7,TIMEOUT,12,0,9
0.25,38,8,RESOURCE_TAKEN,6,0,10
0.25,38,9,TIMEOUT,12,0,11
0.25,39,0,TIMEOUT,12,2,2
0.25,39,1,TIMEOUT,12,0,3
0.25,39,2,TIMEOUT,12,0,4
0.25,39,3,TIMEOUT,12,0,5
0.25,39,4,RESOURCE_TAKEN,11,0,6
0.25,39,5,TIMEOUT,12,1,7
0.25,39,6,TIMEOUT,12,1,8
0.25,39,7,TIMEOUT,12,2,9
0.25,39,8,TIMEOUT,12,1,10
0.25,39,9,TIMEOUT,12,1,11
0.25,40,0,TIMEOUT,12,0,2
0.25,40,1,TIMEOUT,12,1,3
0.25,40,2,RESOURCE_TAKEN,11,0,4
0.25,40,3,TIMEOUT,12,2,5
0.25,40,4,TIMEOUT,12,1,6
0.25,40,5,RESOURCE_TAKEN,9,0,7
0.25,40,6,TIMEOUT,12,0,8
0.25,40,7,TIMEOUT,12,1,9
0.25,40,8,RESOURCE_TAKEN,11,0,10
0.25,40,9,TIMEOUT,12,1,11
0.25,41,0,TIMEOUT,12,0,2
0.25,41,1,TIMEOUT,12,0,3
0.25,41,2,RESOURCE_TAKEN,11,0,4
0.25,41,3,TIMEOUT,12,0,5
0.25,41,4,TIMEOUT,12,0,6
0.25,41,5,TIMEOUT,12,1,7
0.25,41,6,RESOURCE_TAKEN,11,0,8
0.25,41,7,TIMEOUT,12,2,9
0.25,41,8,TIMEOUT,12,1,10
0.25,41,9,TIMEOUT,12,0,11
0.25,42,0,TIMEOUT,12,0,2
0.25,42,1,TIMEOUT,12,1,3
0.25,42,2,RESOURCE_TAKEN,6,0,4
0.25,42,3,TIMEOUT,12,0,5
0.25,42,4,TIMEOUT,12,1,6
0.25,42,5,TIMEOUT,12,0,7
0.25,42,6,RESOURCE_TAKEN,12,0,8
0.25,42,7,TIMEOUT,12,0,9
0.25,42,8,TIMEOUT,12,2,10
0.25,42,9,TIMEOUT,12,0,11
0.25,43,0,TIMEOUT,12,1,2
0.25,43,1,RESOURCE_TAKEN,11,0,3
0.25,43,2,TIMEOUT,12,2,4
0.25,43,3,RESOURCE_TAKEN,10,0,5
0.25,43,4,TIMEOUT,12,1,6
