kappa,softmax_temp,agent_id,outcome,rescued,resource,partner_dead,timeout,steps_used,target_switches
0.25,0.01,49,TIMEOUT,0,0,0,1,12,2
0.25,0.01,50,TIMEOUT,0,0,0,1,12,1
0.25,0.01,51,TIMEOUT,0,0,0,1,12,2
0.25,0.01,52,TIMEOUT,0,0,0,1,12,2
0.25,0.01,53,TIMEOUT,0,0,0,1,12,2
0.25,0.01,54,TIMEOUT,0,0,0,1,12,2
0.25,0.01,55,TIMEOUT,0,0,0,1,12,1
0.25,0.01,56,TIMEOUT,0,0,0,1,12,2
0.25,0.01,57,TIMEOUT,0,0,0,1,12,2
0.25,0.01,58,TIMEOUT,0,0,0,1,12,2
0.25,0.01,59,TIMEOUT,0,0,0,1,12,2
0.25,0.05,0,TIMEOUT,0,0,0,1,12,2
0.25,0.05,1,TIMEOUT,0,0,0,1,12,1
0.25,0.05,2,TIMEOUT,0,0,0,1,12,1
0.25,0.05,3,TIMEOUT,0,0,0,1,12,2
0.25,0.05,4,TIMEOUT,0,0,0,1,12,1
0.25,0.05,5,TIMEOUT,0,0,0,1,12,2
0.25,0.05,6,TIMEOUT,0,0,0,1,12,2
0.25,0.05,7,TIMEOUT,0,0,0,1,12,2
0.25,0.05,8,TIMEOUT,0,0,0,1,12,1
0.25,0.05,9,TIMEOUT,0,0,0,1,12,2
0.25,0.05,10,PARTNER_RESCUED,1,0,0,0,7,0
0.25,0.05,11,TIMEOUT,0,0,0,1,12,2
0.25,0.05,12,TIMEOUT,0,0,0,1,12,0
0.25,0.05,13,TIMEOUT,0,0,0,1,12,1
0.25,0.05,14,TIMEOUT,0,0,0,1,12,0
0.25,0.05,15,TIMEOUT,0,0,0,1,12,2
0.25,0.05,16,TIMEOUT,0,0,0,1,12,2
0.25,0.05,17,TIMEOUT,0,0,0,1,12,1
0.25,0.05,18,TIMEOUT,0,0,0,1,12,2
0.25,0.05,19,TIMEOUT,0,0,0,1,12,0
0.25,0.05,20,TIMEOUT,0,0,0,1,12,2
0.25,0.05,21,TIMEOUT,0,0,0,1,12,0
0.25,0.05,22,TIMEOUT,0,0,0,1,12,2
0.25,0.05,23,TIMEOUT,0,0,0,1,12,1
0.25,0.05,24,TIMEOUT,0,0,0,1,12,2
0.25,0.05,25,TIMEOUT,0,0,0,1,12,2
0.25,0.05,26,TIMEOUT,0,0,0,1,12,2
0.25,0.05,27,TIMEOUT,0,0,0,1,12,2
0.25,0.05,28,TIMEOUT,0,0,0,1,12,2
0.25,0.05,29,TIMEOUT,0,0,0,1,12,2
0.25,0.05,30,TIMEOUT,0,0,0,1,12,2
0.25,0.05,31,TIMEOUT,0,0,0,1,12,2
0.25,0.05,32,TIMEOUT,0,0,0,1,12,2
0.25,0.05,33,TIMEOUT,0,0,0,1,12,1
0.25,0.05,34,TIMEOUT,0,0,0,1,12,1
0.25,0.05,35,TIMEOUT,0,0,0,1,12,2
0.25,0.05,36,TIMEOUT,0,0,0,1,12,0
0.25,0.05,37,TIMEOUT,0,0,0,1,12,2
0.25,0.05,38,TIMEOUT,0,0,0,1,12,2
0.25,0.05,39,TIMEOUT,0,0,0,1,12,1
0.25,0.05,40,TIMEOUT,0,0,0,1,12,2
0.25,0.05,41,TIMEOUT,0,0,0,1,12,2
0.25,0.05,42,TIMEOUT,0,0,0,1,12,2
0.25,0.05,43,TIMEOUT,0,0,0,1,12,2
0.25,0.05,44,TIMEOUT,0,0,0,1,12,2
0.25,0.05,45,TIMEOUT,0,0,0,1,12,1
0.25,0.05,46,TIMEOUT,0,0,0,1,12,2
0.25,0.05,47,TIMEOUT,0,0,0,1,12,2
0.25,0.05,48,TIMEOUT,0,0,0,1,12,0
0.25,0.05,49,TIMEOUT,0,0,0,1,12,2
0.25,0.05,50,TIMEOUT,0,0,0,1,12,1
0.25,0.05,51,TIMEOUT,0,0,0,1,12,1
0.25,0.05,52,TIMEOUT,0,0,0,1,12,2
0.25,0.05,53,TIMEOUT,0,0,0,1,12,2
0.25,0.05,54,TIMEOUT,0,0,0,1,12,0
0.25,0.05,55,TIMEOUT,0,0,0,1,12,2
0.25,0.05,56,TIMEOUT,0,0,0,1,12,1
0.25,0.05,57,TIMEOUT,0,0,0,1,12,2
0.25,0.05,58,TIMEOUT,0,0,0,1,12,2
0.25,0.05,59,TIMEOUT,0,0,0,1,12,2
0.25,0.15,0,TIMEOUT,0,0,0,1,12,0
0.25,0.15,1,TIMEOUT,0,0,0,1,12,0
0.25,0.15,2,TIMEOUT,0,0,0,1,12,0
0.25,0.15,3,TIMEOUT,0,0,0,1,12,0
0.25,0.15,4,TIMEOUT,0,0,0,1,12,2
0.25,0.15,5,TIMEOUT,0,0,0,1,12,1
0.25,0.15,6,TIMEOUT,0,0,0,1,12,0
0.25,0.15,7,TIMEOUT,0,0,0,1,12,1
0.25,0.15,8,TIMEOUT,0,0,0,1,12,2
0.25,0.15,9,TIMEOUT,0,0,0,1,12,0
0.25,0.15,10,TIMEOUT,0,0,0,1,12,2
0.25,0.15,11,TIMEOUT,0,0,0,1,12,1
0.25,0.15,12,TIMEOUT,0,0,0,1,12,2
0.25,0.15,13,TIMEOUT,0,0,0,1,12,0
0.25,0.15,14,TIMEOUT,0,0,0,1,12,1
