seed_group,agent_id,episode_idx,outcome,rescued
1,24,1,PARTNER_RESCUED,1
1,24,2,PARTNER_RESCUED,1
1,24,3,PARTNER_RESCUED,1
1,24,4,RESOURCE_TAKEN,0
1,24,5,PARTNER_RESCUED,1
1,24,6,PARTNER_RESCUED,1
1,24,7,PARTNER_RESCUED,1
1,24,8,PARTNER_RESCUED,1
1,24,9,PARTNER_RESCUED,1
1,25,0,PARTNER_RESCUED,1
1,25,1,PARTNER_RESCUED,1
1,25,2,PARTNER_RESCUED,1
1,25,3,PARTNER_RESCUED,1
1,25,4,PARTNER_RESCUED,1
1,25,5,PARTNER_RESCUED,1
1,25,6,PARTNER_RESCUED,1
1,25,7,PARTNER_RESCUED,1
1,25,8,PARTNER_RESCUED,1
1,25,9,TIMEOUT,0
1,26,0,PARTNER_RESCUED,1
1,26,1,PARTNER_RESCUED,1
1,26,2,PARTNER_RESCUED,1
1,26,3,RESOURCE_TAKEN,0
1,26,4,TIMEOUT,0
1,26,5,PARTNER_RESCUED,1
1,26,6,PARTNER_RESCUED,1
1,26,7,TIMEOUT,0
1,26,8,RESOURCE_TAKEN,0
1,26,9,PARTNER_RESCUED,1
1,27,0,PARTNER_RESCUED,1
1,27,1,PARTNER_RESCUED,1
1,27,2,PARTNER_RESCUED,1
1,27,3,TIMEOUT,0
1,27,4,PARTNER_RESCUED,1
1,27,5,PARTNER_RESCUED,1
1,27,6,TIMEOUT,0
1,27,7,PARTNER_RESCUED,1
1,27,8,TIMEOUT,0
1,27,9,PARTNER_RESCUED,1
1,28,0,PARTNER_RESCUED,1
1,28,1,PARTNER_RESCUED,1
1,28,2,PARTNER_RESCUED,1
1,28,3,PARTNER_RESCUED,1
1,28,4,PARTNER_RESCUED,1
1,28,5,PARTNER_RESCUED,1
1,28,6,PARTNER_RESCUED,1
1,28,7,TIMEOUT,0
1,28,8,PARTNER_RESCUED,1
1,28,9,PARTNER_RESCUED,1
1,29,0,PARTNER_RESCUED,1
1,29,1,PARTNER_RESCUED,1
1,29,2,TIMEOUT,0
1,29,3,TIMEOUT,0
1,29,4,PARTNER_RESCUED,1
1,29,5,PARTNER_RESCUED,1
1,29,6,PARTNER_RESCUED,1
1,29,7,PARTNER_RESCUED,1
1,29,8,PARTNER_RESCUED,1
1,29,9,PARTNER_RESCUED,1
2,0,0,PARTNER_RESCUED,1
2,0,1,PARTNER_RESCUED,1
2,0,2,PARTNER_RESCUED,1
2,0,3,PARTNER_RESCUED,1
2,0,4,PARTNER_RESCUED,1
2,0,5,PARTNER_RESCUED,1
2,0,6,PARTNER_RESCUED,1
2,0,7,PARTNER_RESCUED,1
2,0,8,PARTNER_RESCUED,1
2,0,9,PARTNER_RESCUED,1
2,1,0,PARTNER_RESCUED,1
2,1,1,PARTNER_RESCUED,1
2,1,2,PARTNER_RESCUED,1
2,1,3,PARTNER_RESCUED,1
2,1,4,TIMEOUT,0
2,1,5,TIMEOUT,0
2,1,6,PARTNER_RESCUED,1
