rescue_importance,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,5,2,TIMEOUT,0,4,2
0.0,5,3,TIMEOUT,0,5,1
0.0,5,4,TIMEOUT,0,6,1
0.0,5,5,TIMEOUT,0,7,0
0.0,5,6,TIMEOUT,0,8,1
0.0,5,7,TIMEOUT,0,9,3
0.0,5,8,TIMEOUT,0,10,3
0.0,5,9,TIMEOUT,0,11,1
0.0,6,0,PARTNER_RESCUED,1,2,0
0.0,6,1,TIMEOUT,0,3,1
0.0,6,2,TIMEOUT,0,4,1
0.0,6,3,TIMEOUT,0,5,2
0.0,6,4,TIMEOUT,0,6,0
0.0,6,5,RESOURCE_TAKEN,0,7,0
0.0,6,6,PARTNER_RESCUED,1,8,0
0.0,6,7,TIMEOUT,0,9,2
0.0,6,8,TIMEOUT,0,10,0
0.0,6,9,TIMEOUT,0,11,0
0.0,7,0,PARTNER_RESCUED,1,2,0
0.0,7,1,TIMEOUT,0,3,1
0.0,7,2,TIMEOUT,0,4,3
0.0,7,3,TIMEOUT,0,5,2
0.0,7,4,TIMEOUT,0,6,2
0.0,7,5,TIMEOUT,0,7,0
0.0,7,6,TIMEOUT,0,8,1
0.0,7,7,TIMEOUT,0,9,1
0.0,7,8,TIMEOUT,0,10,0
0.0,7,9,TIMEOUT,0,11,1
0.0,8,0,PARTNER_RESCUED,1,2,0
0.0,8,1,TIMEOUT,0,3,2
0.0,8,2,TIMEOUT,0,4,0
0.0,8,3,TIMEOUT,0,5,1
0.0,8,4,TIMEOUT,0,6,0
0.0,8,5,TIMEOUT,0,7,1
0.0,8,6,TIMEOUT,0,8,1
0.0,8,7,RESOURCE_TAKEN,0,9,0
0.0,8,8,PARTNER_RESCUED,1,10,0
0.0,8,9,PARTNER_RESCUED,1,11,0
0.0,9,0,TIMEOUT,0,2,1
0.0,9,1,TIMEOUT,0,3,2
0.0,9,2,RESOURCE_TAKEN,0,4,0
0.0,9,3,PARTNER_RESCUED,1,5,0
0.0,9,4,PARTNER_RESCUED,1,6,0
0.0,9,5,PARTNER_RESCUED,1,7,0
0.0,9,6,TIMEOUT,0,8,1
0.0,9,7,PARTNER_RESCUED,1,9,0
0.0,9,8,TIMEOUT,0,10,0
0.0,9,9,TIMEOUT,0,11,0
0.0,10,0,PARTNER_RESCUED,1,2,0
0.0,10,1,TIMEOUT,0,3,1
0.0,10,2,PARTNER_RESCUED,1,4,0
0.0,10,3,PARTNER_RESCUED,1,5,0
0.0,10,4,TIMEOUT,0,6,0
0.0,10,5,RESOURCE_TAKEN,0,7,0
0.0,10,6,PARTNER_RESCUED,1,8,0
0.0,10,7,TIMEOUT,0,9,1
0.0,10,8,TIMEOUT,0,10,0
0.0,10,9,TIMEOUT,0,11,0
0.0,11,0,PARTNER_RESCUED,1,2,0
0.0,11,1,PARTNER_RESCUED,1,3,0
0.0,11,2,TIMEOUT,0,4,2
0.0,11,3,TIMEOUT,0,5,2
0.0,11,4,TIMEOUT,0,6,2
0.0,11,5,TIMEOUT,0,7,1
0.0,11,6,TIMEOUT,0,8,2
0.0,11,7,TIMEOUT,0,9,2
0.0,11,8,TIMEOUT,0,10,2
0.0,11,9,TIMEOUT,0,11,2
0.0,12,0,PARTNER_RESCUED,1,2,0
0.0,12,1,TIMEOUT,0,3,1
0.0,12,2,TIMEOUT,0,4,2
0.0,12,3,TIMEOUT,0,5,2
0.0,12,4,TIMEOUT,0,6,0
0.0,12,5,TIMEOUT,0,7,2
0.0,12,6,TIMEOUT,0,8,0
0.0,12,7,TIMEOUT,0,9,1
0.0,12,8,TIMEOUT,0,10,1
0.0,12,9,TIMEOUT,0,11,2
0.0,13,0,PARTNER_RESCUED,1,2,0
0.0,13,1,TIMEOUT,0,3,1
0.0,13,2,TIMEOUT,0,4,1
0.0,13,3,TIMEOUT,0,5,1
0.0,13,4,TIMEOUT,0,6,1
0.0,13,5,TIMEOUT,0,7,2
0.0,13,6,TIMEOUT,0,8,2
