tau,agent_id,episode_idx,outcome,steps_used,target_switches,n_memories,e_max,was_encoded
0.0,28,8,TIMEOUT,12,2,10,0.6318,1
0.0,28,9,RESOURCE_TAKEN,12,0,11,0.4816,1
0.0,29,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,29,1,TIMEOUT,12,0,3,1.0,1
0.0,29,2,TIMEOUT,12,2,4,0.6806,1
0.0,29,3,TIMEOUT,12,0,5,0.4857,1
0.0,29,4,TIMEOUT,12,2,6,0.4717,1
0.0,29,5,TIMEOUT,12,0,7,0.4717,1
0.0,29,6,TIMEOUT,12,1,8,0.4717,1
0.0,29,7,RESOURCE_TAKEN,10,0,9,0.3167,1
0.0,29,8,PARTNER_RESCUED,6,0,10,1.0,1
0.0,29,9,TIMEOUT,12,1,11,1.0,1
0.0,30,0,TIMEOUT,12,1,2,1.0,1
0.0,30,1,TIMEOUT,12,0,3,0.8212,1
0.0,30,2,TIMEOUT,12,0,4,0.5608,1
0.0,30,3,TIMEOUT,12,2,5,0.4717,1
0.0,30,4,TIMEOUT,12,2,6,0.4717,1
0.0,30,5,TIMEOUT,12,2,7,0.4717,1
0.0,30,6,TIMEOUT,12,1,8,0.4717,1
0.0,30,7,TIMEOUT,12,0,9,0.4717,1
0.0,30,8,TIMEOUT,12,2,10,0.4717,1
0.0,30,9,TIMEOUT,12,0,11,0.4717,1
0.0,31,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,31,1,TIMEOUT,12,2,3,1.0,1
0.0,31,2,PARTNER_RESCUED,7,0,4,0.3997,1
0.0,31,3,TIMEOUT,12,1,5,1.0,1
0.0,31,4,TIMEOUT,12,1,6,0.4717,1
0.0,31,5,TIMEOUT,12,0,7,0.4717,1
0.0,31,6,RESOURCE_TAKEN,12,0,8,0.4717,1
0.0,31,7,PARTNER_RESCUED,6,0,9,1.0,1
0.0,31,8,TIMEOUT,12,1,10,1.0,1
0.0,31,9,TIMEOUT,12,0,11,1.0,1
0.0,32,0,TIMEOUT,12,0,2,1.0,1
0.0,32,1,TIMEOUT,12,1,3,0.8035,1
0.0,32,2,TIMEOUT,12,2,4,0.5708,1
0.0,32,3,TIMEOUT,12,1,5,0.4717,1
0.0,32,4,TIMEOUT,12,2,6,0.4717,1
0.0,32,5,TIMEOUT,12,2,7,0.4717,1
0.0,32,6,TIMEOUT,12,1,8,0.4717,1
0.0,32,7,TIMEOUT,12,0,9,0.4717,1
0.0,32,8,TIMEOUT,12,0,10,0.4717,1
0.0,32,9,TIMEOUT,12,2,11,0.4717,1
0.0,33,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,33,1,TIMEOUT,12,0,3,1.0,1
0.0,33,2,TIMEOUT,12,0,4,0.7083,1
0.0,33,3,TIMEOUT,12,0,5,0.4824,1
0.0,33,4,TIMEOUT,12,0,6,0.4717,1
0.0,33,5,TIMEOUT,12,1,7,0.4717,1
0.0,33,6,TIMEOUT,12,2,8,0.4717,1
0.0,33,7,TIMEOUT,12,2,9,0.4717,1
0.0,33,8,TIMEOUT,12,0,10,0.4717,1
0.0,33,9,RESOURCE_TAKEN,12,0,11,0.4717,1
0.0,34,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,34,1,PARTNER_RESCUED,7,0,3,0.7,1
0.0,34,2,TIMEOUT,12,2,4,1.0,1
0.0,34,3,TIMEOUT,12,1,5,0.5637,1
0.0,34,4,TIMEOUT,12,2,6,0.4717,1
0.0,34,5,TIMEOUT,12,1,7,0.4717,1
0.0,34,6,TIMEOUT,12,0,8,0.4717,1
0.0,34,7,RESOURCE_TAKEN,11,0,9,0.39,1
0.0,34,8,TIMEOUT,12,1,10,1.0,1
0.0,34,9,TIMEOUT,12,1,11,1.0,1
0.0,35,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,35,1,PARTNER_RESCUED,7,0,3,0.7,1
0.0,35,2,TIMEOUT,12,1,4,1.0,1
0.0,35,3,TIMEOUT,12,0,5,0.5497,1
0.0,35,4,TIMEOUT,12,0,6,0.4717,1
0.0,35,5,TIMEOUT,12,0,7,0.4717,1
0.0,35,6,TIMEOUT,12,2,8,0.4717,1
0.0,35,7,TIMEOUT,12,2,9,0.4717,1
0.0,35,8,TIMEOUT,12,1,10,0.4717,1
0.0,35,9,TIMEOUT,12,1,11,0.4717,1
0.0,36,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,36,1,PARTNER_RESCUED,7,0,3,0.7,1
0.0,36,2,TIMEOUT,12,2,4,1.0,1
0.0,36,3,TIMEOUT,12,1,5,0.5516,1
0.0,36,4,TIMEOUT,12,0,6,0.4717,1
0.0,36,5,TIMEOUT,12,0,7,0.4717,1
0.0,36,6,TIMEOUT,12,2,8,0.4717,1
0.0,36,7,TIMEOUT,12,1,9,0.4717,1
0.0,36,8,TIMEOUT,12,2,10,0.4717,1
0.0,36,9,TIMEOUT,12,1,11,0.4717,1
0.0,37,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,37,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,37,2,TIMEOUT,12,2,4,1.0,1
0.0,37,3,TIMEOUT,12,0,5,0.5969,1
0.0,37,4,TIMEOUT,12,2,6,0.4717,1
0.0,37,5,TIMEOUT,12,3,7,0.4717,1
0.0,37,6,TIMEOUT,12,2,8,0.4717,1
0.0,37,7,TIMEOUT,12,1,9,0.4717,1
0.0,37,8,TIMEOUT,12,1,10,0.4717,1
0.0,37,9,TIMEOUT,12,0,11,0.4717,1
0.0,38,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,38,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,38,2,TIMEOUT,12,0,4,1.0,1
0.0,38,3,TIMEOUT,12,1,5,0.5661,1
0.0,38,4,TIMEOUT,12,1,6,0.4717,1
0.0,38,5,TIMEOUT,12,2,7,0.4717,1
0.0,38,6,TIMEOUT,12,0,8,0.4717,1
0.0,38,7,TIMEOUT,12,2,9,0.4717,1
0.0,38,8,TIMEOUT,12,1,10,0.4717,1
0.0,38,9,TIMEOUT,12,2,11,0.4717,1
0.0,39,0,TIMEOUT,12,1,2,1.0,1
0.0,39,1,TIMEOUT,12,2,3,0.8454,1
0.0,39,2,TIMEOUT,12,3,4,0.5783,1
0.0,39,3,RESOURCE_TAKEN,10,0,5,0.387,1
0.0,39,4,PARTNER_RESCUED,6,0,6,1.0,1
0.0,39,5,PARTNER_RESCUED,7,0,7,0.7,1
0.0,39,6,TIMEOUT,12,0,8,1.0,1
0.0,39,7,TIMEOUT,12,1,9,0.8929,1
0.0,39,8,RESOURCE_TAKEN,12,0,10,0.6295,1
0.0,39,9,PARTNER_RESCUED,7,0,11,1.0,1
0.0,40,0,TIMEOUT,12,1,2,1.0,1
0.0,40,1,TIMEOUT,12,2,3,0.8349,1
0.0,40,2,TIMEOUT,12,0,4,0.5678,1
0.0,40,3,RESOURCE_TAKEN,11,0,5,0.4208,1
0.0,40,4,TIMEOUT,12,1,6,1.0,1
0.0,40,5,PARTNER_RESCUED,7,0,7,0.8668,1
0.0,40,6,TIMEOUT,12,0,8,1.0,1
0.0,40,7,TIMEOUT,12,3,9,0.7252,1
0.0,40,8,TIMEOUT,12,1,10,0.5243,1
0.0,40,9,TIMEOUT,12,2,11,0.4717,1
0.0,41,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,41,1,PARTNER_RESCUED,7,0,3,0.7,1
0.0,41,2,TIMEOUT,12,0,4,1.0,1
0.0,41,3,TIMEOUT,12,2,5,0.5691,1
0.0,41,4,TIMEOUT,12,0,6,0.4717,1
0.0,41,5,TIMEOUT,12,1,7,0.4717,1
0.0,41,6,TIMEOUT,12,0,8,0.4717,1
0.0,41,7,TIMEOUT,12,1,9,0.4717,1
0.0,41,8,TIMEOUT,12,2,10,0.4717,1
0.0,41,9,TIMEOUT,12,0,11,0.4717,1
0.0,42,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,42,1,TIMEOUT,12,1,3,1.0,1
0.0,42,2,TIMEOUT,12,2,4,0.6758,1
0.0,42,3,TIMEOUT,12,0,5,0.502,1
0.0,42,4,RESOURCE_TAKEN,11,0,6,0.39,1
0.0,42,5,PARTNER_RESCUED,6,0,7,1.0,1
0.0,42,6,TIMEOUT,12,1,8,1.0,1
0.0,42,7,TIMEOUT,12,1,9,1.0,1
0.0,42,8,TIMEOUT,12,2,10,0.7587,1
0.0,42,9,TIMEOUT,12,0,11,0.5505,1
0.0,43,0,PARTNER_RESCUED,7,0,2,1.0,1
0.0,43,1,TIMEOUT,12,2,3,1.0,1
0.0,43,2,TIMEOUT,12,1,4,0.6595,1
0.0,43,3,TIMEOUT,12,2,5,0.488,1
0.0,43,4,TIMEOUT,12,1,6,0.4717,1
0.0,43,5,TIMEOUT,12,0,7,0.4717,1
0.0,43,6,RESOURCE_TAKEN,9,0,8,0.2517,1
0.0,43,7,TIMEOUT,12,1,9,1.0,1
0.0,43,8,TIMEOUT,12,0,10,1.0,1
0.0,43,9,PARTNER_RESCUED,6,0,11,0.4756,1
0.0,44,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,44,1,PARTNER_RESCUED,6,0,3,0.62,1
0.0,44,2,TIMEOUT,12,1,4,1.0,1
0.0,44,3,TIMEOUT,12,1,5,0.5739,1
0.0,44,4,TIMEOUT,12,1,6,0.4717,1
0.0,44,5,TIMEOUT,12,2,7,0.4717,1
0.0,44,6,TIMEOUT,12,2,8,0.4717,1
0.0,44,7,RESOURCE_TAKEN,8,0,9,0.2187,1
0.0,44,8,TIMEOUT,12,1,10,1.0,1
0.0,44,9,PARTNER_RESCUED,6,0,11,0.7588,1
0.0,45,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,45,1,TIMEOUT,12,1,3,1.0,1
0.0,45,2,TIMEOUT,12,2,4,0.6962,1
0.0,45,3,RESOURCE_TAKEN,12,0,5,0.5086,1
0.0,45,4,PARTNER_RESCUED,6,0,6,1.0,1
0.0,45,5,TIMEOUT,12,1,7,1.0,1
0.0,45,6,TIMEOUT,12,2,8,1.0,1
0.0,45,7,TIMEOUT,12,2,9,0.7549,1
0.0,45,8,TIMEOUT,12,1,10,0.53,1
0.0,45,9,TIMEOUT,12,0,11,0.4717,1
0.0,46,0,PARTNER_RESCUED,6,0,2,1.0,1
0.0,46,1,TIMEOUT,12,0,3,1.0,1
0.0,46,2,TIMEOUT,12,0,4,0.6724,1
0.0,46,3,TIMEOUT,12,2,5,0.5069,1
