inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,74,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,74,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,74,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,74,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,75,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,75,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,75,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,75,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,76,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,76,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,76,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,76,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,77,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,77,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,77,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,77,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,78,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,78,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,78,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,78,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,79,0,TIMEOUT,0,2,1
off,0.05,0.05,1.0,79,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,79,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,79,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,80,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,80,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,80,2,TIMEOUT,0,4,3
off,0.05,0.05,1.0,80,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,81,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,81,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,81,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,81,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,82,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,82,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,82,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,82,3,TIMEOUT,0,5,0
