inject_mode,beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off,0.05,0.05,1.0,25,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,25,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,25,7,PARTNER_RESCUED,1,9,0
off,0.05,0.05,1.0,25,8,TIMEOUT,0,10,0
off,0.05,0.05,1.0,25,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,26,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,26,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,26,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,26,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,26,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,26,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,26,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,26,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,26,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,26,9,TIMEOUT,0,11,2
off,0.05,0.05,1.0,27,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,27,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,27,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,27,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,27,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,27,5,TIMEOUT,0,7,0
off,0.05,0.05,1.0,27,6,TIMEOUT,0,8,1
off,0.05,0.05,1.0,27,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,27,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,27,9,TIMEOUT,0,11,2
off,0.05,0.05,1.0,28,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,28,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,28,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,28,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,28,4,TIMEOUT,0,6,1
off,0.05,0.05,1.0,28,5,TIMEOUT,0,7,1
off,0.05,0.05,1.0,28,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,28,7,TIMEOUT,0,9,1
off,0.05,0.05,1.0,28,8,PARTNER_DEAD,0,10,0
off,0.05,0.05,1.0,28,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,29,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,29,1,TIMEOUT,0,3,2
off,0.05,0.05,1.0,29,2,PARTNER_RESCUED,1,4,0
off,0.05,0.05,1.0,29,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,29,4,PARTNER_RESCUED,1,6,0
off,0.05,0.05,1.0,29,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,29,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,29,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,29,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,29,9,PARTNER_RESCUED,1,11,0
off,0.05,0.05,1.0,30,0,TIMEOUT,0,2,2
off,0.05,0.05,1.0,30,1,TIMEOUT,0,3,0
off,0.05,0.05,1.0,30,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,30,3,PARTNER_RESCUED,1,5,0
off,0.05,0.05,1.0,30,4,TIMEOUT,0,6,0
off,0.05,0.05,1.0,30,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,30,6,TIMEOUT,0,8,0
off,0.05,0.05,1.0,30,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,30,8,TIMEOUT,0,10,1
off,0.05,0.05,1.0,30,9,TIMEOUT,0,11,0
off,0.05,0.05,1.0,31,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,31,1,TIMEOUT,0,3,1
off,0.05,0.05,1.0,31,2,TIMEOUT,0,4,1
off,0.05,0.05,1.0,31,3,TIMEOUT,0,5,1
off,0.05,0.05,1.0,31,4,TIMEOUT,0,6,2
off,0.05,0.05,1.0,31,5,PARTNER_RESCUED,1,7,0
off,0.05,0.05,1.0,31,6,PARTNER_RESCUED,1,8,0
off,0.05,0.05,1.0,31,7,TIMEOUT,0,9,0
off,0.05,0.05,1.0,31,8,PARTNER_RESCUED,1,10,0
off,0.05,0.05,1.0,31,9,TIMEOUT,0,11,1
off,0.05,0.05,1.0,32,0,PARTNER_RESCUED,1,2,0
off,0.05,0.05,1.0,32,1,PARTNER_RESCUED,1,3,0
off,0.05,0.05,1.0,32,2,TIMEOUT,0,4,0
off,0.05,0.05,1.0,32,3,TIMEOUT,0,5,0
off,0.05,0.05,1.0,32,4,PARTNER_RESCUED,1,6,0
