sigma,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.0,2,10,TIMEOUT,0,12,1
0.0,2,11,TIMEOUT,0,13,0
0.0,2,12,TIMEOUT,0,14,1
0.0,2,13,PARTNER_RESCUED,1,15,0
0.0,2,14,TIMEOUT,0,16,1
0.0,2,15,TIMEOUT,0,17,0
0.0,2,16,TIMEOUT,0,18,0
0.0,2,17,TIMEOUT,0,19,2
0.0,2,18,TIMEOUT,0,20,0
0.0,2,19,PARTNER_RESCUED,1,21,0
0.0,3,0,PARTNER_RESCUED,1,2,0
0.0,3,1,TIMEOUT,0,3,1
0.0,3,2,PARTNER_RESCUED,1,4,0
0.0,3,3,TIMEOUT,0,5,0
0.0,3,4,PARTNER_RESCUED,1,6,0
0.0,3,5,TIMEOUT,0,7,0
0.0,3,6,TIMEOUT,0,8,0
0.0,3,7,TIMEOUT,0,9,1
0.0,3,8,TIMEOUT,0,10,1
0.0,3,9,TIMEOUT,0,11,1
0.0,3,10,TIMEOUT,0,12,1
0.0,3,11,TIMEOUT,0,13,2
0.0,3,12,TIMEOUT,0,14,2
0.0,3,13,TIMEOUT,0,15,0
0.0,3,14,TIMEOUT,0,16,0
0.0,3,15,TIMEOUT,0,17,2
0.0,3,16,TIMEOUT,0,18,0
0.0,3,17,TIMEOUT,0,19,2
0.0,3,18,TIMEOUT,0,20,1
0.0,3,19,TIMEOUT,0,21,1
0.0,4,0,PARTNER_RESCUED,1,2,0
0.0,4,1,PARTNER_RESCUED,1,3,0
0.0,4,2,TIMEOUT,0,4,1
0.0,4,3,TIMEOUT,0,5,1
0.0,4,4,TIMEOUT,0,6,0
0.0,4,5,TIMEOUT,0,7,2
0.0,4,6,TIMEOUT,0,8,1
0.0,4,7,PARTNER_RESCUED,1,9,0
0.0,4,8,PARTNER_RESCUED,1,10,0
0.0,4,9,PARTNER_RESCUED,1,11,0
0.0,4,10,PARTNER_RESCUED,1,12,0
0.0,4,11,TIMEOUT,0,13,0
0.0,4,12,TIMEOUT,0,14,2
0.0,4,13,TIMEOUT,0,15,1
0.0,4,14,TIMEOUT,0,16,2
0.0,4,15,TIMEOUT,0,17,2
0.0,4,16,TIMEOUT,0,18,0
0.0,4,17,TIMEOUT,0,19,2
0.0,4,18,PARTNER_RESCUED,1,20,0
0.0,4,19,PARTNER_RESCUED,1,21,0
0.0,5,0,PARTNER_RESCUED,1,2,0
0.0,5,1,TIMEOUT,0,3,0
0.0,5,2,PARTNER_RESCUED,1,4,0
0.0,5,3,TIMEOUT,0,5,1
0.0,5,4,TIMEOUT,0,6,0
0.0,5,5,TIMEOUT,0,7,1
0.0,5,6,TIMEOUT,0,8,0
0.0,5,7,TIMEOUT,0,9,0
0.0,5,8,TIMEOUT,0,10,2
0.0,5,9,TIMEOUT,0,11,0
0.0,5,10,TIMEOUT,0,12,2
0.0,5,11,PARTNER_RESCUED,1,13,0
0.0,5,12,TIMEOUT,0,14,1
0.0,5,13,TIMEOUT,0,15,1
0.0,5,14,PARTNER_RESCUED,1,16,0
0.0,5,15,TIMEOUT,0,17,0
0.0,5,16,PARTNER_RESCUED,1,18,0
0.0,5,17,TIMEOUT,0,19,1
0.0,5,18,TIMEOUT,0,20,0
0.0,5,19,TIMEOUT,0,21,0
0.0,6,0,PARTNER_RESCUED,1,2,0
0.0,6,1,PARTNER_RESCUED,1,3,0
0.0,6,2,PARTNER_RESCUED,1,4,0
0.0,6,3,PARTNER_RESCUED,1,5,0
0.0,6,4,TIMEOUT,0,6,1
0.0,6,5,TIMEOUT,0,7,0
0.0,6,6,TIMEOUT,0,8,0
0.0,6,7,PARTNER_RESCUED,1,9,0
0.0,6,8,PARTNER_RESCUED,1,10,0
0.0,6,9,TIMEOUT,0,11,1
0.0,6,10,PARTNER_RESCUED,1,12,0
0.0,6,11,TIMEOUT,0,13,1
0.0,6,12,TIMEOUT,0,14,1
0.0,6,13,TIMEOUT,0,15,2
0.0,6,14,TIMEOUT,0,16,1
