beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,29,5,TIMEOUT,0,7,2
0.05,0.05,29,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,29,7,TIMEOUT,0,9,1
0.05,0.05,29,8,TIMEOUT,0,10,1
0.05,0.05,29,9,TIMEOUT,0,11,2
0.05,0.05,30,0,TIMEOUT,0,2,0
0.05,0.05,30,1,TIMEOUT,0,3,0
0.05,0.05,30,2,TIMEOUT,0,4,0
0.05,0.05,30,3,TIMEOUT,0,5,2
0.05,0.05,30,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,30,5,PARTNER_RESCUED,1,7,0
0.05,0.05,30,6,PARTNER_RESCUED,1,8,0
0.05,0.05,30,7,TIMEOUT,0,9,1
0.05,0.05,30,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,30,9,PARTNER_RESCUED,1,11,0
0.05,0.05,31,0,PARTNER_RESCUED,1,2,0
0.05,0.05,31,1,TIMEOUT,0,3,2
0.05,0.05,31,2,RESOURCE_TAKEN,0,4,1
0.05,0.05,31,3,PARTNER_RESCUED,1,5,0
0.05,0.05,31,4,PARTNER_RESCUED,1,6,0
0.05,0.05,31,5,TIMEOUT,0,7,0
0.05,0.05,31,6,TIMEOUT,0,8,0
0.05,0.05,31,7,TIMEOUT,0,9,4
0.05,0.05,31,8,TIMEOUT,0,10,1
0.05,0.05,31,9,TIMEOUT,0,11,0
0.05,0.05,32,0,PARTNER_RESCUED,1,2,0
0.05,0.05,32,1,TIMEOUT,0,3,0
0.05,0.05,32,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,32,3,PARTNER_RESCUED,1,5,0
0.05,0.05,32,4,PARTNER_RESCUED,1,6,0
0.05,0.05,32,5,TIMEOUT,0,7,1
0.05,0.05,32,6,TIMEOUT,0,8,0
0.05,0.05,32,7,TIMEOUT,0,9,0
0.05,0.05,32,8,RESOURCE_TAKEN,0,10,1
0.05,0.05,32,9,PARTNER_RESCUED,1,11,0
0.05,0.05,33,0,PARTNER_RESCUED,1,2,0
0.05,0.05,33,1,TIMEOUT,0,3,2
0.05,0.05,33,2,TIMEOUT,0,4,0
0.05,0.05,33,3,RESOURCE_TAKEN,0,5,0
0.05,0.05,33,4,TIMEOUT,0,6,1
0.05,0.05,33,5,TIMEOUT,0,7,2
0.05,0.05,33,6,TIMEOUT,0,8,0
0.05,0.05,33,7,TIMEOUT,0,9,0
0.05,0.05,33,8,TIMEOUT,0,10,0
0.05,0.05,33,9,TIMEOUT,0,11,1
0.05,0.05,34,0,TIMEOUT,0,2,1
0.05,0.05,34,1,TIMEOUT,0,3,0
0.05,0.05,34,2,TIMEOUT,0,4,0
0.05,0.05,34,3,TIMEOUT,0,5,3
0.05,0.05,34,4,TIMEOUT,0,6,1
0.05,0.05,34,5,TIMEOUT,0,7,1
0.05,0.05,34,6,TIMEOUT,0,8,0
0.05,0.05,34,7,RESOURCE_TAKEN,0,9,0
0.05,0.05,34,8,PARTNER_RESCUED,1,10,0
0.05,0.05,34,9,PARTNER_RESCUED,1,11,0
0.05,0.05,35,0,PARTNER_RESCUED,1,2,0
