mode,beta_guilt,beta_loyalty,agent_id,episode_idx,outcome,rescued,n_memories
off,0.05,0.5,2,5,TIMEOUT,0,7
off,0.05,0.5,2,6,TIMEOUT,0,8
off,0.05,0.5,2,7,PARTNER_RESCUED,1,9
off,0.05,0.5,2,8,TIMEOUT,0,10
off,0.05,0.5,2,9,PARTNER_RESCUED,1,11
off,0.05,0.5,3,0,PARTNER_RESCUED,1,2
off,0.05,0.5,3,1,TIMEOUT,0,3
off,0.05,0.5,3,2,PARTNER_RESCUED,1,4
off,0.05,0.5,3,3,PARTNER_RESCUED,1,5
off,0.05,0.5,3,4,TIMEOUT,0,6
off,0.05,0.5,3,5,TIMEOUT,0,7
off,0.05,0.5,3,6,PARTNER_RESCUED,1,8
off,0.05,0.5,3,7,TIMEOUT,0,9
off,0.05,0.5,3,8,PARTNER_RESCUED,1,10
off,0.05,0.5,3,9,TIMEOUT,0,11
off,0.05,0.5,4,0,PARTNER_RESCUED,1,2
off,0.05,0.5,4,1,TIMEOUT,0,3
off,0.05,0.5,4,2,PARTNER_RESCUED,1,4
off,0.05,0.5,4,3,TIMEOUT,0,5
off,0.05,0.5,4,4,PARTNER_RESCUED,1,6
off,0.05,0.5,4,5,TIMEOUT,0,7
off,0.05,0.5,4,6,PARTNER_RESCUED,1,8
off,0.05,0.5,4,7,TIMEOUT,0,9
off,0.05,0.5,4,8,TIMEOUT,0,10
off,0.05,0.5,4,9,TIMEOUT,0,11
off,0.05,0.5,5,0,PARTNER_RESCUED,1,2
off,0.05,0.5,5,1,RESOURCE_TAKEN,0,3
off,0.05,0.5,5,2,TIMEOUT,0,4
off,0.05,0.5,5,3,TIMEOUT,0,5
off,0.05,0.5,5,4,TIMEOUT,0,6
off,0.05,0.5,5,5,TIMEOUT,0,7
off,0.05,0.5,5,6,PARTNER_RESCUED,1,8
off,0.05,0.5,5,7,TIMEOUT,0,9
off,0.05,0.5,5,8,TIMEOUT,0,10
off,0.05,0.5,5,9,TIMEOUT,0,11
off,0.05,0.5,6,0,PARTNER_RESCUED,1,2
off,0.05,0.5,6,1,TIMEOUT,0,3
off,0.05,0.5,6,2,TIMEOUT,0,4
off,0.05,0.5,6,3,TIMEOUT,0,5
off,0.05,0.5,6,4,PARTNER_RESCUED,1,6
off,0.05,0.5,6,5,TIMEOUT,0,7
off,0.05,0.5,6,6,TIMEOUT,0,8
off,0.05,0.5,6,7,TIMEOUT,0,9
off,0.05,0.5,6,8,TIMEOUT,0,10
off,0.05,0.5,6,9,TIMEOUT,0,11
off,0.05,0.5,7,0,PARTNER_RESCUED,1,2
off,0.05,0.5,7,1,TIMEOUT,0,3
off,0.05,0.5,7,2,PARTNER_DEAD,0,4
off,0.05,0.5,7,3,TIMEOUT,0,5
off,0.05,0.5,7,4,TIMEOUT,0,6
off,0.05,0.5,7,5,TIMEOUT,0,7
off,0.05,0.5,7,6,PARTNER_RESCUED,1,8
off,0.05,0.5,7,7,TIMEOUT,0,9
off,0.05,0.5,7,8,TIMEOUT,0,10
off,0.05,0.5,7,9,PARTNER_RESCUED,1,11
off,0.05,0.5,8,0,PARTNER_RESCUED,1,2
off,0.05,0.5,8,1,TIMEOUT,0,3
off,0.05,0.5,8,2,PARTNER_RESCUED,1,4
off,0.05,0.5,8,3,TIMEOUT,0,5
off,0.05,0.5,8,4,TIMEOUT,0,6
off,0.05,0.5,8,5,TIMEOUT,0,7
off,0.05,0.5,8,6,PARTNER_RESCUED,1,8
off,0.05,0.5,8,7,TIMEOUT,0,9
off,0.05,0.5,8,8,TIMEOUT,0,10
off,0.05,0.5,8,9,PARTNER_RESCUED,1,11
off,0.05,0.5,9,0,PARTNER_RESCUED,1,2
off,0.05,0.5,9,1,TIMEOUT,0,3
off,0.05,0.5,9,2,PARTNER_RESCUED,1,4
off,0.05,0.5,9,3,TIMEOUT,0,5
off,0.05,0.5,9,4,TIMEOUT,0,6
off,0.05,0.5,9,5,TIMEOUT,0,7
off,0.05,0.5,9,6,PARTNER_RESCUED,1,8
off,0.05,0.5,9,7,TIMEOUT,0,9
off,0.05,0.5,9,8,PARTNER_RESCUED,1,10
