capacity,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
2,57,8,TIMEOUT,0,2,4
2,57,9,TIMEOUT,0,2,1
2,58,0,PARTNER_RESCUED,1,2,0
2,58,1,TIMEOUT,0,2,1
2,58,2,TIMEOUT,0,2,1
2,58,3,TIMEOUT,0,2,2
2,58,4,RESOURCE_TAKEN,0,2,0
2,58,5,TIMEOUT,0,2,1
2,58,6,TIMEOUT,0,2,1
2,58,7,TIMEOUT,0,2,2
2,58,8,TIMEOUT,0,2,1
2,58,9,TIMEOUT,0,2,0
2,59,0,TIMEOUT,0,2,1
2,59,1,TIMEOUT,0,2,2
2,59,2,RESOURCE_TAKEN,0,2,0
2,59,3,PARTNER_RESCUED,1,2,0
2,59,4,TIMEOUT,0,2,2
2,59,5,TIMEOUT,0,2,0
2,59,6,TIMEOUT,0,2,2
2,59,7,TIMEOUT,0,2,0
2,59,8,TIMEOUT,0,2,3
2,59,9,TIMEOUT,0,2,0
2,60,0,PARTNER_RESCUED,1,2,0
2,60,1,TIMEOUT,0,2,0
2,60,2,TIMEOUT,0,2,0
2,60,3,TIMEOUT,0,2,1
2,60,4,RESOURCE_TAKEN,0,2,0
2,60,5,PARTNER_RESCUED,1,2,0
2,60,6,PARTNER_RESCUED,1,2,0
2,60,7,PARTNER_RESCUED,1,2,0
2,60,8,PARTNER_RESCUED,1,2,0
2,60,9,TIMEOUT,0,2,0
2,61,0,PARTNER_RESCUED,1,2,0
2,61,1,TIMEOUT,0,2,1
2,61,2,RESOURCE_TAKEN,0,2,0
2,61,3,PARTNER_RESCUED,1,2,0
2,61,4,PARTNER_RESCUED,1,2,0
2,61,5,TIMEOUT,0,2,2
2,61,6,TIMEOUT,0,2,0
2,61,7,TIMEOUT,0,2,2
2,61,8,TIMEOUT,0,2,1
2,61,9,TIMEOUT,0,2,2
2,62,0,PARTNER_RESCUED,1,2,0
2,62,1,TIMEOUT,0,2,1
2,62,2,TIMEOUT,0,2,3
2,62,3,TIMEOUT,0,2,1
2,62,4,TIMEOUT,0,2,0
2,62,5,TIMEOUT,0,2,0
2,62,6,TIMEOUT,0,2,1
2,62,7,TIMEOUT,0,2,1
2,62,8,TIMEOUT,0,2,3
2,62,9,TIMEOUT,0,2,0
2,63,0,PARTNER_RESCUED,1,2,0
2,63,1,TIMEOUT,0,2,2
2,63,2,TIMEOUT,0,2,2
2,63,3,TIMEOUT,0,2,1
2,63,4,TIMEOUT,0,2,2
2,63,5,TIMEOUT,0,2,0
2,63,6,TIMEOUT,0,2,1
2,63,7,TIMEOUT,0,2,0
2,63,8,TIMEOUT,0,2,3
2,63,9,TIMEOUT,0,2,0
2,64,0,PARTNER_RESCUED,1,2,0
2,64,1,TIMEOUT,0,2,1
2,64,2,TIMEOUT,0,2,1
2,64,3,TIMEOUT,0,2,0
2,64,4,RESOURCE_TAKEN,0,2,0
