cell,jitter,tag_aware,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
off_off,0.0,0,19,11,PARTNER_RESCUED,1,13,0
off_off,0.0,0,19,12,TIMEOUT,0,14,1
off_off,0.0,0,19,13,RESOURCE_TAKEN,0,15,1
off_off,0.0,0,19,14,PARTNER_RESCUED,1,16,0
off_off,0.0,0,19,15,TIMEOUT,0,17,1
off_off,0.0,0,19,16,RESOURCE_TAKEN,0,18,0
off_off,0.0,0,19,17,PARTNER_RESCUED,1,19,0
off_off,0.0,0,19,18,TIMEOUT,0,20,0
off_off,0.0,0,19,19,RESOURCE_TAKEN,0,21,0
off_off,0.0,0,20,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,20,1,PARTNER_RESCUED,1,3,0
off_off,0.0,0,20,2,TIMEOUT,0,4,2
off_off,0.0,0,20,3,RESOURCE_TAKEN,0,5,1
off_off,0.0,0,20,4,PARTNER_RESCUED,1,6,0
off_off,0.0,0,20,5,TIMEOUT,0,7,0
off_off,0.0,0,20,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,20,7,TIMEOUT,0,9,1
off_off,0.0,0,20,8,RESOURCE_TAKEN,0,10,1
off_off,0.0,0,20,9,TIMEOUT,0,11,0
off_off,0.0,0,20,10,RESOURCE_TAKEN,0,12,0
off_off,0.0,0,20,11,PARTNER_RESCUED,1,13,0
off_off,0.0,0,20,12,TIMEOUT,0,14,1
off_off,0.0,0,20,13,TIMEOUT,0,15,1
off_off,0.0,0,20,14,TIMEOUT,0,16,1
off_off,0.0,0,20,15,RESOURCE_TAKEN,0,17,0
off_off,0.0,0,20,16,PARTNER_RESCUED,1,18,0
off_off,0.0,0,20,17,PARTNER_RESCUED,1,19,0
off_off,0.0,0,20,18,PARTNER_RESCUED,1,20,0
off_off,0.0,0,20,19,TIMEOUT,0,21,0
off_off,0.0,0,21,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,21,1,TIMEOUT,0,3,0
off_off,0.0,0,21,2,TIMEOUT,0,4,0
off_off,0.0,0,21,3,RESOURCE_TAKEN,0,5,0
off_off,0.0,0,21,4,TIMEOUT,0,6,0
off_off,0.0,0,21,5,TIMEOUT,0,7,1
off_off,0.0,0,21,6,TIMEOUT,0,8,1
off_off,0.0,0,21,7,RESOURCE_TAKEN,0,9,0
off_off,0.0,0,21,8,PARTNER_RESCUED,1,10,0
off_off,0.0,0,21,9,PARTNER_RESCUED,1,11,0
off_off,0.0,0,21,10,TIMEOUT,0,12,1
off_off,0.0,0,21,11,TIMEOUT,0,13,0
off_off,0.0,0,21,12,TIMEOUT,0,14,1
off_off,0.0,0,21,13,TIMEOUT,0,15,1
off_off,0.0,0,21,14,RESOURCE_TAKEN,0,16,0
off_off,0.0,0,21,15,PARTNER_RESCUED,1,17,0
off_off,0.0,0,21,16,TIMEOUT,0,18,0
off_off,0.0,0,21,17,RESOURCE_TAKEN,0,19,0
off_off,0.0,0,21,18,PARTNER_RESCUED,1,20,0
off_off,0.0,0,21,19,TIMEOUT,0,21,1
off_off,0.0,0,22,0,PARTNER_RESCUED,1,2,0
off_off,0.0,0,22,1,TIMEOUT,0,3,0
off_off,0.0,0,22,2,RESOURCE_TAKEN,0,4,1
off_off,0.0,0,22,3,TIMEOUT,0,5,2
off_off,0.0,0,22,4,RESOURCE_TAKEN,0,6,0
off_off,0.0,0,22,5,TIMEOUT,0,7,1
off_off,0.0,0,22,6,RESOURCE_TAKEN,0,8,0
off_off,0.0,0,22,7,PARTNER_RESCUED,1,9,0
off_off,0.0,0,22,8,TIMEOUT,0,10,0
off_off,0.0,0,22,9,TIMEOUT,0,11,0
off_off,0.0,0,22,10,TIMEOUT,0,12,3
off_off,0.0,0,22,11,RESOURCE_TAKEN,0,13,1
off_off,0.0,0,22,12,PARTNER_RESCUED,1,14,0
off_off,0.0,0,22,13,TIMEOUT,0,15,0
off_off,0.0,0,22,14,RESOURCE_TAKEN,0,16,0
off_off,0.0,0,22,15,PARTNER_RESCUED,1,17,0
off_off,0.0,0,22,16,TIMEOUT,0,18,1
