beta_guilt,beta_loyalty,kappa,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.05,0.05,0.5,37,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,37,2,TIMEOUT,0,4,2
0.05,0.05,0.5,37,3,TIMEOUT,0,5,0
0.05,0.05,0.5,37,4,TIMEOUT,0,6,2
0.05,0.05,0.5,37,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,37,6,TIMEOUT,0,8,0
0.05,0.05,0.5,37,7,TIMEOUT,0,9,0
0.05,0.05,0.5,37,8,RESOURCE_TAKEN,0,10,0
0.05,0.05,0.5,37,9,TIMEOUT,0,11,1
0.05,0.05,0.5,38,0,TIMEOUT,0,2,0
0.05,0.05,0.5,38,1,RESOURCE_TAKEN,0,3,0
0.05,0.05,0.5,38,2,TIMEOUT,0,4,0
0.05,0.05,0.5,38,3,TIMEOUT,0,5,1
0.05,0.05,0.5,38,4,RESOURCE_TAKEN,0,6,0
0.05,0.05,0.5,38,5,TIMEOUT,0,7,1
0.05,0.05,0.5,38,6,TIMEOUT,0,8,1
0.05,0.05,0.5,38,7,TIMEOUT,0,9,2
0.05,0.05,0.5,38,8,TIMEOUT,0,10,0
0.05,0.05,0.5,38,9,TIMEOUT,0,11,1
0.05,0.05,0.5,39,0,TIMEOUT,0,2,0
0.05,0.05,0.5,39,1,TIMEOUT,0,3,2
0.05,0.05,0.5,39,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,39,3,TIMEOUT,0,5,2
0.05,0.05,0.5,39,4,TIMEOUT,0,6,2
0.05,0.05,0.5,39,5,TIMEOUT,0,7,1
0.05,0.05,0.5,39,6,RESOURCE_TAKEN,0,8,0
0.05,0.05,0.5,39,7,TIMEOUT,0,9,0
0.05,0.05,0.5,39,8,TIMEOUT,0,10,1
0.05,0.05,0.5,39,9,RESOURCE_TAKEN,0,11,1
0.05,0.05,0.5,40,0,TIMEOUT,0,2,0
0.05,0.05,0.5,40,1,TIMEOUT,0,3,0
0.05,0.05,0.5,40,2,RESOURCE_TAKEN,0,4,0
0.05,0.05,0.5,40,3,TIMEOUT,0,5,0
0.05,0.05,0.5,40,4,TIMEOUT,0,6,0
0.05,0.05,0.5,40,5,RESOURCE_TAKEN,0,7,0
0.05,0.05,0.5,40,6,PARTNER_RESCUED,1,8,0
