beta_guilt,beta_loyalty,kappa,agent_id,ep0_outcome,ep1_outcome,snapshot_after_ep,mem_idx,tag,age,importance,guilt,loyalty,survival,fear,curiosity,emo_magnitude,mem_class
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,4,5,timeout,0,0.5,0.4,0.3,0.2,0.2,0.0,1.1,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,0,seed,129,0.9,0.002598564567491338,0.0017323763783275584,0.2,0.1,0.0,0.3043309409458189,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,1,timeout,102,0.5,0.0021373110485405715,0.0016029832864054296,0.2,0.2,0.0,0.403740294334946,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,2,timeout,90,0.5,0.003955345883863578,0.0029665094128976843,0.2,0.2,0.0,0.4069218552967613,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,3,failure,81,0.85,0.013336164815898473,0.007844802832881448,0.3,0.2,0.0,0.52118096764878,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,4,timeout,69,0.5,0.011614185447063137,0.008710639085297357,0.2,0.2,0.0,0.42032482453236053,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,5,timeout,57,0.5,0.021493418393096105,0.016120063794822087,0.2,0.2,0.0,0.4376134821879182,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,6,failure,47,0.85,0.07628310714122316,0.04487241596542537,0.3,0.2,0.0,0.6211555231066486,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,7,timeout,35,0.5,0.06643335359504285,0.04982501519628215,0.2,0.2,0.0,0.5162583687913249,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,8,timeout,23,0.5,0.12294274709000945,0.09220706031750707,0.2,0.2,0.0,0.6151498074075166,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,9,timeout,11,0.5,0.22752003691058387,0.1706400276829379,0.2,0.2,0.0,0.7981600645935218,guilt
0.05,0.05,0.5,5,TIMEOUT,TIMEOUT,9,10,failure,0,0.85,0.85,0.5,0.3,0.2,0.0,1.8499999999999999,guilt
0.05,0.05,0.5,6,TIMEOUT,TIMEOUT,4,0,seed,68,0.9,0.05937362836008474,0.03958241890672316,0.2,0.1,0.0,0.3989560472668079,guilt
