cell,tau_guilt,tau_loyalty,agent_id,episode_idx,outcome,rescued,n_memories,e_max,was_encoded,target_switches
G0.3_L0.3,0.3,0.3,22,1,TIMEOUT,0,3,0.8482,1,2
G0.3_L0.3,0.3,0.3,22,2,TIMEOUT,0,4,0.5749,1,1
G0.3_L0.3,0.3,0.3,22,3,TIMEOUT,0,5,0.4717,1,0
G0.3_L0.3,0.3,0.3,22,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,22,5,RESOURCE_TAKEN,0,7,0.3167,1,0
G0.3_L0.3,0.3,0.3,22,6,TIMEOUT,0,8,1.0,1,1
G0.3_L0.3,0.3,0.3,22,7,TIMEOUT,0,9,1.0,1,1
G0.3_L0.3,0.3,0.3,22,8,TIMEOUT,0,10,0.9362,1,1
G0.3_L0.3,0.3,0.3,22,9,TIMEOUT,0,11,0.6026,1,0
G0.3_L0.3,0.3,0.3,23,0,TIMEOUT,0,2,1.0,1,1
G0.3_L0.3,0.3,0.3,23,1,TIMEOUT,0,3,0.8068,1,0
G0.3_L0.3,0.3,0.3,23,2,TIMEOUT,0,4,0.5883,1,2
G0.3_L0.3,0.3,0.3,23,3,TIMEOUT,0,5,0.4717,1,0
G0.3_L0.3,0.3,0.3,23,4,TIMEOUT,0,6,0.4717,1,0
G0.3_L0.3,0.3,0.3,23,5,TIMEOUT,0,7,0.4717,1,1
G0.3_L0.3,0.3,0.3,23,6,TIMEOUT,0,8,0.4717,1,1
G0.3_L0.3,0.3,0.3,23,7,TIMEOUT,0,9,0.4717,1,0
G0.3_L0.3,0.3,0.3,23,8,TIMEOUT,0,10,0.4717,1,0
G0.3_L0.3,0.3,0.3,23,9,TIMEOUT,0,11,0.4717,1,0
G0.3_L0.3,0.3,0.3,24,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,24,1,TIMEOUT,0,3,1.0,1,1
G0.3_L0.3,0.3,0.3,24,2,TIMEOUT,0,4,0.6894,1,0
G0.3_L0.3,0.3,0.3,24,3,TIMEOUT,0,5,0.4904,1,0
G0.3_L0.3,0.3,0.3,24,4,TIMEOUT,0,6,0.4717,1,1
G0.3_L0.3,0.3,0.3,24,5,TIMEOUT,0,7,0.4717,1,1
G0.3_L0.3,0.3,0.3,24,6,TIMEOUT,0,8,0.4717,1,0
G0.3_L0.3,0.3,0.3,24,7,TIMEOUT,0,9,0.4717,1,2
G0.3_L0.3,0.3,0.3,24,8,TIMEOUT,0,10,0.4717,1,1
G0.3_L0.3,0.3,0.3,24,9,TIMEOUT,0,11,0.4717,1,2
G0.3_L0.3,0.3,0.3,25,0,PARTNER_RESCUED,1,2,1.0,1,0
G0.3_L0.3,0.3,0.3,25,1,TIMEOUT,0,3,1.0,1,2
G0.3_L0.3,0.3,0.3,25,2,TIMEOUT,0,4,0.6491,1,1
G0.3_L0.3,0.3,0.3,25,3,TIMEOUT,0,5,0.4779,1,1
G0.3_L0.3,0.3,0.3,25,4,TIMEOUT,0,6,0.4717,1,1
