kappa,encoding_jitter,agent_id,episode_idx,outcome,rescued,n_memories,target_switches
0.1,0.0,46,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,46,4,TIMEOUT,0,6,0
0.1,0.0,46,5,TIMEOUT,0,7,0
0.1,0.0,46,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,46,7,TIMEOUT,0,9,0
0.1,0.0,46,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,46,9,TIMEOUT,0,11,1
0.1,0.0,47,0,TIMEOUT,0,2,3
0.1,0.0,47,1,TIMEOUT,0,3,0
0.1,0.0,47,2,TIMEOUT,0,4,0
0.1,0.0,47,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,47,4,TIMEOUT,0,6,0
0.1,0.0,47,5,RESOURCE_TAKEN,0,7,0
0.1,0.0,47,6,TIMEOUT,0,8,2
0.1,0.0,47,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,47,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,47,9,TIMEOUT,0,11,3
0.1,0.0,48,0,RESOURCE_TAKEN,0,2,0
0.1,0.0,48,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,48,2,TIMEOUT,0,4,1
0.1,0.0,48,3,RESOURCE_TAKEN,0,5,0
0.1,0.0,48,4,RESOURCE_TAKEN,0,6,0
0.1,0.0,48,5,TIMEOUT,0,7,0
0.1,0.0,48,6,RESOURCE_TAKEN,0,8,0
0.1,0.0,48,7,RESOURCE_TAKEN,0,9,0
0.1,0.0,48,8,RESOURCE_TAKEN,0,10,0
0.1,0.0,48,9,TIMEOUT,0,11,0
0.1,0.0,49,0,TIMEOUT,0,2,0
0.1,0.0,49,1,RESOURCE_TAKEN,0,3,0
0.1,0.0,49,2,TIMEOUT,0,4,2
